item_identifier,item_fat_content,item_mrp,item_outlet_sales,item_type,item_visibility,item_weight,outlet_establishment_year,outlet_identifier,outlet_location_type,outlet_size,outlet_type
FDT50,Regular,96.9751968383789,958.7520141601562,Dairy,0.1084584966301918,6.75,2002,OUT045,Tier 2,,Supermarket Type1
FDF57,Regular,169.64480590820312,2045.337646484375,Fruits and Vegetables,0.0,14.5,2004,OUT035,Tier 2,Small,Supermarket Type1
FDE16,Low Fat,208.4954071044922,6251.86181640625,Frozen Foods,0.026492726057767868,8.895000457763672,2007,OUT017,Tier 2,,Supermarket Type1
FDR37,Regular,183.32919311523438,2006.72119140625,Breakfast,0.0662495493888855,16.5,1997,OUT046,Tier 1,Small,Supermarket Type1
FDY08,Regular,139.18380737304688,280.96759033203125,Fruits and Vegetables,0.28634485602378845,9.395000457763672,1998,OUT010,Tier 3,,Grocery Store
FDL36,Low Fat,89.78299713134766,2247.074951171875,Baking Goods,0.07619376480579376,15.100000381469727,1999,OUT049,Tier 1,Medium,Supermarket Type1
FDA33,Low Fat,146.2075958251953,2364.921630859375,Snack Foods,0.03409164771437645,6.480000019073486,2007,OUT017,Tier 2,,Supermarket Type1
FDY55,Low Fat,258.0987854003906,8994.9580078125,Fruits and Vegetables,0.08148512244224548,16.75,2002,OUT045,Tier 2,,Supermarket Type1
FDH20,Regular,98.44100189208984,868.8690185546875,Fruits and Vegetables,0.0,16.100000381469727,2007,OUT017,Tier 2,,Supermarket Type1
FDA26,Regular,220.148193359375,4600.01220703125,Dairy,0.0,7.855000019073486,2009,OUT018,Tier 3,Medium,Supermarket Type2
FDW11,low fat,61.01940155029297,1052.6297607421875,Breads,0.0488579235970974,12.600000381469727,1999,OUT049,Tier 1,Medium,Supermarket Type1
NCO53,Low Fat,184.06080627441406,6431.6279296875,Health and Hygiene,0.17433615028858185,,1985,OUT027,Tier 3,Medium,Supermarket Type3
FDE09,Low Fat,109.52279663085938,994.7052001953125,Fruits and Vegetables,0.021647194400429726,8.774999618530273,2002,OUT045,Tier 2,,Supermarket Type1
FDK14,Low Fat,83.39340209960938,491.36041259765625,Canned,0.041338298469781876,6.980000019073486,2007,OUT017,Tier 2,,Supermarket Type1
FDT57,Low Fat,238.22479248046875,3555.3720703125,Snack Foods,0.01906437613070011,15.199999809265137,1999,OUT049,Tier 1,Medium,Supermarket Type1
FDF33,Low Fat,105.95960235595703,2049.33251953125,Seafood,0.021579161286354065,7.96999979019165,2002,OUT045,Tier 2,,Supermarket Type1
FDK52,LF,226.00619506835938,1805.649658203125,Frozen Foods,0.07934200763702393,18.25,1999,OUT049,Tier 1,Medium,Supermarket Type1
FDW60,Regular,177.03700256347656,3352.302978515625,Baking Goods,0.01697932556271553,,1985,OUT027,Tier 3,Medium,Supermarket Type3
DRI49,Low Fat,82.02760314941406,1624.552001953125,Soft Drinks,0.18347258865833282,14.149999618530273,2004,OUT035,Tier 2,Small,Supermarket Type1
NCG43,Low Fat,94.14620208740234,832.915771484375,Household,0.0,20.200000762939453,1997,OUT046,Tier 1,Small,Supermarket Type1
FDZ08,Regular,83.05919647216797,743.0327758789062,Fruits and Vegetables,0.10990083962678909,12.5,1987,OUT013,Tier 3,High,Supermarket Type1
DRJ35,Low Fat,60.687801361083984,363.52679443359375,Hard Drinks,0.046848051249980927,10.100000381469727,2007,OUT017,Tier 2,,Supermarket Type1
FDU33,Regular,47.040199279785156,1470.08642578125,Snack Foods,0.13468429446220398,7.630000114440918,2004,OUT035,Tier 2,Small,Supermarket Type1
DRI13,Low Fat,218.35079956054688,2387.558837890625,Soft Drinks,0.02040976472198963,15.350000381469727,2009,OUT018,Tier 3,Medium,Supermarket Type2
FDW46,Regular,64.34839630126953,2218.445556640625,Snack Foods,0.07028836756944656,13.0,2004,OUT035,Tier 2,Small,Supermarket Type1
FDJ08,Low Fat,189.28460693359375,3630.607421875,Fruits and Vegetables,0.11112293601036072,11.100000381469727,2009,OUT018,Tier 3,Medium,Supermarket Type2
NCA30,Low Fat,188.88720703125,3592.65673828125,Household,0.12930928170681,19.0,2004,OUT035,Tier 2,Small,Supermarket Type1
DRD49,Low Fat,237.7563934326172,3813.702392578125,Soft Drinks,0.16817143559455872,9.895000457763672,2002,OUT045,Tier 2,,Supermarket Type1
NCA18,Low Fat,115.94920349121094,231.69839477539062,Household,0.09386236220598221,10.100000381469727,1998,OUT010,Tier 3,,Grocery Store
NCD06,low fat,46.305999755859375,699.0900268554688,Household,0.09924262017011642,13.0,1987,OUT013,Tier 3,High,Supermarket Type1
NCD19,LF,53.26139831542969,552.614013671875,Household,0.0,8.930000305175781,1999,OUT049,Tier 1,Medium,Supermarket Type1
FDI28,Low Fat,78.3302001953125,1267.6832275390625,Frozen Foods,0.026362624019384384,14.300000190734863,1999,OUT049,Tier 1,Medium,Supermarket Type1
FDB02,Regular,175.13699340820312,3705.177001953125,Canned,0.029283080250024796,9.694999694824219,2009,OUT018,Tier 3,Medium,Supermarket Type2
FDN60,Low Fat,159.26040649414062,2852.287109375,Baking Goods,0.09515807777643204,15.100000381469727,1997,OUT046,Tier 1,Small,Supermarket Type1
FDV57,Regular,179.66600036621094,6471.576171875,Snack Foods,0.06626929342746735,15.25,2007,OUT017,Tier 2,,Supermarket Type1
FDC09,Regular,104.1332015991211,1230.3984375,Fruits and Vegetables,0.02634289674460888,15.5,1999,OUT049,Tier 1,Medium,Supermarket Type1
FDZ59,Regular,167.25,1830.949951171875,Baking Goods,0.10444532334804535,6.630000114440918,2009,OUT018,Tier 3,Medium,Supermarket Type2
FDU38,Low Fat,191.65040588378906,2492.755126953125,Dairy,0.08248119801282883,10.800000190734863,1987,OUT013,Tier 3,High,Supermarket Type1
FDG38,Regular,86.62239837646484,1704.447998046875,Canned,0.052811119705438614,8.975000381469727,1999,OUT049,Tier 1,Medium,Supermarket Type1
FDX34,Low Fat,121.30979919433594,4820.39208984375,Snack Foods,0.07197191566228867,6.195000171661377,2004,OUT035,Tier 2,Small,Supermarket Type1
FDT19,Regular,172.9080047607422,6231.88818359375,Fruits and Vegetables,0.1452663540840149,7.590000152587891,1999,OUT049,Tier 1,Medium,Supermarket Type1
FDZ60,Low Fat,109.45960235595703,431.4383850097656,Baking Goods,0.11984804272651672,20.5,2009,OUT018,Tier 3,Medium,Supermarket Type2
DRL01,Regular,232.4958038330078,2804.349609375,Soft Drinks,0.07715772837400436,19.5,2004,OUT035,Tier 2,Small,Supermarket Type1
FDJ21,Regular,147.51019287109375,5540.78759765625,Snack Foods,0.038496166467666626,16.700000762939453,1987,OUT013,Tier 3,High,Supermarket Type1
FDR52,Regular,192.3845977783203,1910.845947265625,Frozen Foods,0.07598130404949188,12.649999618530273,1987,OUT013,Tier 3,High,Supermarket Type1
NCK29,LF,121.9729995727539,2463.4599609375,Health and Hygiene,0.0,5.614999771118164,1997,OUT046,Tier 1,Small,Supermarket Type1
FDV08,Low Fat,40.845401763916016,587.235595703125,Fruits and Vegetables,0.028571132570505142,7.349999904632568,1987,OUT013,Tier 3,High,Supermarket Type1
FDH53,Regular,83.25920104980469,1155.828857421875,Frozen Foods,0.0,20.5,2007,OUT017,Tier 2,,Supermarket Type1
NCL19,Low Fat,144.0469970703125,286.29400634765625,Others,0.015676230192184448,15.350000381469727,1997,OUT046,Tier 1,Small,Supermarket Type1
FDR51,Regular,151.07080078125,2708.474365234375,Meat,0.17445093393325806,9.03499984741211,2007,OUT017,Tier 2,,Supermarket Type1
NCJ29,Low Fat,85.12239837646484,1193.1136474609375,Health and Hygiene,0.035186272114515305,10.600000381469727,2004,OUT035,Tier 2,Small,Supermarket Type1
NCG07,Low Fat,190.85299682617188,4364.31884765625,Household,0.05250204727053642,12.300000190734863,1997,OUT046,Tier 1,Small,Supermarket Type1
FDI02,Regular,114.12020111083984,787.6414184570312,Canned,0.11503178626298904,15.699999809265137,2009,OUT018,Tier 3,Medium,Supermarket Type2
FDX20,Low Fat,227.3719940185547,452.7439880371094,Fruits and Vegetables,0.07451751083135605,,1985,OUT019,Tier 1,Small,Grocery Store
FDF22,Low Fat,214.5218048095703,2778.38330078125,Snack Foods,0.056783389300107956,6.864999771118164,1987,OUT013,Tier 3,High,Supermarket Type1
NCD31,Low Fat,166.05259704589844,3617.957275390625,Household,0.015458459965884686,12.100000381469727,1999,OUT049,Tier 1,Medium,Supermarket Type1
FDX51,Regular,194.7451934814453,1370.2164306640625,Meat,0.022103460505604744,9.5,2002,OUT045,Tier 2,,Supermarket Type1
FDI35,Low Fat,182.46339416503906,5452.90185546875,Starchy Foods,0.04128336161375046,14.0,2004,OUT035,Tier 2,Small,Supermarket Type1
FDA19,Low Fat,128.7993927001953,128.49940490722656,Fruits and Vegetables,0.09227213263511658,7.519999980926514,1998,OUT010,Tier 3,,Grocery Store
FDO57,Low Fat,160.95779418945312,1444.1202392578125,Snack Foods,0.10893063247203827,20.75,2002,OUT045,Tier 2,,Supermarket Type1
FDM58,Regular,113.45439910888672,2908.21435546875,Snack Foods,0.07969040423631668,16.850000381469727,1997,OUT046,Tier 1,Small,Supermarket Type1
FDM34,Low Fat,132.9626007080078,1967.43896484375,Snack Foods,0.06744757294654846,19.0,1997,OUT046,Tier 1,Small,Supermarket Type1
NCT06,Low Fat,166.28419494628906,4807.74169921875,Household,0.038730230182409286,17.100000381469727,2004,OUT035,Tier 2,Small,Supermarket Type1
DRM47,Low Fat,189.18460083007812,382.169189453125,Hard Drinks,0.07328827679157257,9.300000190734863,1998,OUT010,Tier 3,,Grocery Store
DRJ51,Low Fat,228.56680297851562,1151.833984375,Dairy,0.0879206731915474,14.100000381469727,1987,OUT013,Tier 3,High,Supermarket Type1
FDE35,Regular,59.89039993286133,1757.7120361328125,Starchy Foods,0.0,,1985,OUT027,Tier 3,Medium,Supermarket Type3
FDN32,Low Fat,184.82659912109375,2766.39892578125,Fruits and Vegetables,0.015591925010085106,17.5,2002,OUT045,Tier 2,,Supermarket Type1
FDE29,Low Fat,62.38779830932617,1514.6949462890625,Frozen Foods,0.14243601262569427,,1985,OUT027,Tier 3,Medium,Supermarket Type3
FDZ03,Regular,186.7239990234375,4474.17578125,Dairy,0.07890916615724564,13.649999618530273,1999,OUT049,Tier 1,Medium,Supermarket Type1
DRO35,Low Fat,117.44920349121094,3243.777587890625,Hard Drinks,0.0345703586935997,13.850000381469727,1997,OUT046,Tier 1,Small,Supermarket Type1
FDS25,Regular,108.7228012084961,2542.0244140625,Canned,0.14000855386257172,6.885000228881836,1997,OUT046,Tier 1,Small,Supermarket Type1
FDD41,Regular,105.33059692382812,836.2448120117188,Frozen Foods,0.08739577233791351,6.764999866485596,1999,OUT049,Tier 1,Medium,Supermarket Type1
FDT15,Regular,183.69500732421875,2929.52001953125,Meat,0.04274788126349449,12.149999618530273,1999,OUT049,Tier 1,Medium,Supermarket Type1
FDY16,Regular,182.52659606933594,6454.93115234375,Frozen Foods,0.09178014099597931,,1985,OUT027,Tier 3,Medium,Supermarket Type3
NCK18,Low Fat,164.21839904785156,1981.4207763671875,Household,0.0,9.600000381469727,2002,OUT045,Tier 2,,Supermarket Type1
FDN45,Low Fat,222.70880126953125,4026.75830078125,Snack Foods,0.11753085255622864,,1985,OUT027,Tier 3,Medium,Supermarket Type3
FDS23,Low Fat,126.99939727783203,1798.9915771484375,Breads,0.14168603718280792,4.635000228881836,2007,OUT017,Tier 2,,Supermarket Type1
NCB42,LF,116.94920349121094,1969.4364013671875,Health and Hygiene,0.008554051630198956,11.800000190734863,1987,OUT013,Tier 3,High,Supermarket Type1
FDM27,Regular,157.99459838867188,3313.6865234375,Meat,0.15833747386932373,12.350000381469727,1987,OUT013,Tier 3,High,Supermarket Type1
FDK57,Low Fat,120.04399871826172,4434.22802734375,Snack Foods,0.07990406453609467,,1985,OUT027,Tier 3,Medium,Supermarket Type3
NCR50,Low Fat,154.63400268554688,4287.751953125,Household,0.011810249648988247,20.200000762939453,1987,OUT013,Tier 3,High,Supermarket Type1
FDX55,Low Fat,216.91659545898438,217.7165985107422,Fruits and Vegetables,0.09665840119123459,,1985,OUT019,Tier 1,Small,Grocery Store
FDU40,Low Fat,195.34779357910156,1937.47802734375,Frozen Foods,0.03755634278059006,20.850000381469727,2009,OUT018,Tier 3,Medium,Supermarket Type2
FDC08,Regular,225.4720001220703,3169.2080078125,Fruits and Vegetables,0.1034499928355217,19.0,1997,OUT046,Tier 1,Small,Supermarket Type1
FDZ21,Regular,94.84100341796875,193.08200073242188,Snack Foods,0.0656493529677391,17.600000381469727,1998,OUT010,Tier 3,,Grocery Store
FDB04,Regular,86.18560028076172,1494.05517578125,Dairy,0.06317368894815445,11.350000381469727,1987,OUT013,Tier 3,High,Supermarket Type1
FDZ38,Low Fat,171.34219360351562,862.2109985351562,Dairy,0.014008751139044762,,1985,OUT019,Tier 1,Small,Grocery Store
FDI53,Regular,161.5236053466797,1772.359619140625,Frozen Foods,0.13761892914772034,8.895000457763672,2004,OUT035,Tier 2,Small,Supermarket Type1
FDN49,Regular,41.74800109863281,199.74000549316406,Breakfast,0.1257345825433731,17.25,2009,OUT018,Tier 3,Medium,Supermarket Type2
FDX02,Low Fat,225.94039916992188,1350.242431640625,Dairy,0.05704930052161217,16.0,2004,OUT035,Tier 2,Small,Supermarket Type1
FDU14,Low Fat,249.5749969482422,499.3500061035156,Dairy,0.05816880613565445,17.75,1998,OUT010,Tier 3,,Grocery Store
FDS10,Low Fat,180.33180236816406,3428.2041015625,Snack Foods,0.035384610295295715,19.200000762939453,2007,OUT017,Tier 2,,Supermarket Type1
FDB33,Low Fat,157.5261993408203,477.37860107421875,Fruits and Vegetables,0.025527993217110634,,1985,OUT019,Tier 1,Small,Grocery Store
FDG22,Regular,37.21900177001953,366.19000244140625,Snack Foods,0.04161522537469864,17.600000381469727,2007,OUT017,Tier 2,,Supermarket Type1
FDP26,Low Fat,102.53060150146484,1358.8978271484375,Dairy,0.14012131094932556,7.784999847412109,2009,OUT018,Tier 3,Medium,Supermarket Type2
FDQ36,Regular,36.2848014831543,1155.828857421875,Baking Goods,0.1622055172920227,7.855000019073486,2009,OUT018,Tier 3,Medium,Supermarket Type2
FDE32,Low Fat,39.950599670410156,872.86376953125,Fruits and Vegetables,0.049034710973501205,20.700000762939453,2007,OUT017,Tier 2,,Supermarket Type1
FDG08,Regular,172.07640075683594,4466.1865234375,Fruits and Vegetables,0.16522172093391418,13.149999618530273,1987,OUT013,Tier 3,High,Supermarket Type1
FDA09,Regular,179.76600646972656,5932.27783203125,Snack Foods,0.14997485280036926,13.350000381469727,2009,OUT018,Tier 3,Medium,Supermarket Type2
FDZ58,Low Fat,121.80719757080078,2450.14404296875,Snack Foods,0.05225798115134239,17.850000381469727,1999,OUT049,Tier 1,Medium,Supermarket Type1
NCX54,Low Fat,105.66220092773438,1693.795166015625,Household,0.048050783574581146,9.194999694824219,2004,OUT035,Tier 2,Small,Supermarket Type1
DRN11,Low Fat,143.3444061279297,1596.58837890625,Hard Drinks,0.1639021635055542,7.849999904632568,2007,OUT017,Tier 2,,Supermarket Type1
DRN36,Low Fat,94.17520141601562,2109.25439453125,Soft Drinks,0.05027960240840912,15.199999809265137,2002,OUT045,Tier 2,,Supermarket Type1
NCU17,Low Fat,100.66739654541016,2648.552490234375,Health and Hygiene,0.09286574274301529,5.320000171661377,2004,OUT035,Tier 2,Small,Supermarket Type1
FDZ02,Regular,99.87259674072266,587.235595703125,Dairy,0.03822479024529457,6.90500020980835,2002,OUT045,Tier 2,,Supermarket Type1
FDD44,Regular,259.0646057128906,4380.29833984375,Fruits and Vegetables,0.07840046286582947,8.050000190734863,1997,OUT046,Tier 1,Small,Supermarket Type1
FDF11,Regular,240.15379333496094,1442.122802734375,Starchy Foods,0.01765863411128521,10.194999694824219,1999,OUT049,Tier 1,Medium,Supermarket Type1
FDS11,Regular,222.50880432128906,7158.681640625,Breads,0.055289462208747864,,1985,OUT027,Tier 3,Medium,Supermarket Type3
FDX22,Regular,208.7928009033203,5890.99853515625,Snack Foods,0.022974811494350433,6.784999847412109,1997,OUT046,Tier 1,Small,Supermarket Type1
DRJ47,Low Fat,174.70799255371094,2423.511962890625,Hard Drinks,0.044250305742025375,18.25,1997,OUT046,Tier 1,Small,Supermarket Type1
FDQ44,Low Fat,120.17559814453125,3392.916748046875,Fruits and Vegetables,0.03613346442580223,20.5,2004,OUT035,Tier 2,Small,Supermarket Type1
NCA06,Low Fat,34.71900177001953,768.9990234375,Household,0.14350637793540955,20.5,1999,OUT049,Tier 1,Medium,Supermarket Type1
NCQ38,Low Fat,104.52799987792969,1065.280029296875,Others,0.013442035764455795,16.350000381469727,2007,OUT017,Tier 2,,Supermarket Type1
NCN53,Low Fat,33.28739929199219,635.1732177734375,Health and Hygiene,0.03047911822795868,5.175000190734863,2009,OUT018,Tier 3,Medium,Supermarket Type2
DRD15,Low Fat,232.46420288085938,697.0925903320312,Dairy,0.09506472945213318,10.600000381469727,1998,OUT010,Tier 3,,Grocery Store
FDX12,Regular,241.81959533691406,4097.3330078125,Baking Goods,0.02606448531150818,18.200000762939453,1997,OUT046,Tier 1,Small,Supermarket Type1
FDK24,Low Fat,46.27439880371094,1086.5855712890625,Baking Goods,0.10129494220018387,9.194999694824219,1997,OUT046,Tier 1,Small,Supermarket Type1
DRY23,Regular,41.31119918823242,255.66720581054688,Soft Drinks,0.10971346497535706,9.395000457763672,2007,OUT017,Tier 2,,Supermarket Type1
NCS29,Low Fat,264.8883972167969,2914.872314453125,Health and Hygiene,0.06993883848190308,9.0,2007,OUT017,Tier 2,,Supermarket Type1
FDE47,Low Fat,125.60459899902344,1618.559814453125,Starchy Foods,0.03796768561005592,14.149999618530273,1999,OUT049,Tier 1,Medium,Supermarket Type1
FDX36,Regular,223.14039611816406,450.080810546875,Baking Goods,0.22460739314556122,,1985,OUT019,Tier 1,Small,Grocery Store
FDP59,Regular,103.16480255126953,1973.43115234375,Breads,0.05619227513670921,,1985,OUT027,Tier 3,Medium,Supermarket Type3
NCJ06,Low Fat,118.6781997680664,2502.7421875,Household,0.03484863042831421,20.100000381469727,2007,OUT017,Tier 2,,Supermarket Type1
FDO49,Regular,48.90079879760742,708.4111938476562,Breakfast,0.03310355544090271,10.600000381469727,1999,OUT049,Tier 1,Medium,Supermarket Type1
FDA28,Regular,126.13619995117188,3271.7412109375,Frozen Foods,0.04779284447431564,16.100000381469727,2004,OUT035,Tier 2,Small,Supermarket Type1
FDZ46,Low Fat,112.122802734375,1215.7508544921875,Snack Foods,0.06923118978738785,7.485000133514404,1999,OUT049,Tier 1,Medium,Supermarket Type1
NCZ41,Low Fat,126.17040252685547,1877.5560302734375,Health and Hygiene,0.0,19.850000381469727,2009,OUT018,Tier 3,Medium,Supermarket Type2
FDX58,low fat,181.2949981689453,4028.090087890625,Snack Foods,0.04401122406125069,13.149999618530273,2007,OUT017,Tier 2,,Supermarket Type1
FDH58,Low Fat,116.4833984375,1842.9344482421875,Snack Foods,0.0,12.300000190734863,2009,OUT018,Tier 3,Medium,Supermarket Type2
FDI50,Regular,227.835205078125,3435.528076171875,Canned,0.030968306586146355,8.420000076293945,2009,OUT018,Tier 3,Medium,Supermarket Type2
DRI47,Low Fat,144.31280517578125,431.4383850097656,Hard Drinks,0.03501608967781067,14.699999809265137,1998,OUT010,Tier 3,,Grocery Store
FDF59,Low Fat,128.1020050048828,885.5139770507812,Starchy Foods,0.07123053818941116,12.5,2004,OUT035,Tier 2,Small,Supermarket Type1
FDE44,Low Fat,49.76919937133789,837.576416015625,Fruits and Vegetables,0.0,14.649999618530273,2002,OUT045,Tier 2,,Supermarket Type1
NCC54,LF,239.31959533691406,723.0587768554688,Health and Hygiene,0.1635480523109436,17.75,1998,OUT010,Tier 3,,Grocery Store
FDF53,reg,178.83180236816406,3608.635986328125,Frozen Foods,0.08360656350851059,20.75,1997,OUT046,Tier 1,Small,Supermarket Type1
FDO34,Low Fat,166.28160095214844,2516.72412109375,Snack Foods,0.029914021492004395,17.700000762939453,1987,OUT013,Tier 3,High,Supermarket Type1
FDO10,Regular,58.85879898071289,973.3995971679688,Snack Foods,0.01274928916245699,13.649999618530273,2004,OUT035,Tier 2,Small,Supermarket Type1
FDW36,Low Fat,106.86219787597656,2011.3818359375,Baking Goods,0.05702115595340729,11.149999618530273,1999,OUT049,Tier 1,Medium,Supermarket Type1
FDG12,Regular,122.40979766845703,3735.8037109375,Baking Goods,0.006295471917837858,,1985,OUT027,Tier 3,Medium,Supermarket Type3
FDQ12,Low Fat,231.4010009765625,2526.7109375,Baking Goods,0.03548256307840347,12.649999618530273,2002,OUT045,Tier 2,,Supermarket Type1
FDQ40,Regular,176.07119750976562,1581.9407958984375,Frozen Foods,0.036174286156892776,11.100000381469727,2009,OUT018,Tier 3,Medium,Supermarket Type2
FDG24,Low Fat,84.5250015258789,416.125,Baking Goods,0.014631149359047413,7.974999904632568,1997,OUT046,Tier 1,Small,Supermarket Type1
FDU04,Low Fat,121.54139709472656,1340.25537109375,Frozen Foods,0.0055473861284554005,7.929999828338623,2004,OUT035,Tier 2,Small,Supermarket Type1
NCW53,Low Fat,193.11619567871094,2693.826904296875,Health and Hygiene,0.030542489141225815,18.350000381469727,1999,OUT049,Tier 1,Medium,Supermarket Type1
FDR59,Regular,263.6593933105469,3401.572265625,Breads,0.06355428695678711,,1985,OUT027,Tier 3,Medium,Supermarket Type3
FDL57,Regular,258.8304138183594,5424.9384765625,Snack Foods,0.06718109548091888,15.100000381469727,1999,OUT049,Tier 1,Medium,Supermarket Type1
FDX60,LF,77.99600219726562,2716.464111328125,Baking Goods,0.08020385354757309,,1985,OUT027,Tier 3,Medium,Supermarket Type3
FDB59,Low Fat,197.20840454101562,4166.576171875,Snack Foods,0.015204910188913345,,1985,OUT027,Tier 3,Medium,Supermarket Type3
FDE39,Low Fat,117.47820281982422,2026.0294189453125,Dairy,0.03612767159938812,7.889999866485596,2004,OUT035,Tier 2,Small,Supermarket Type1
FDR45,Low Fat,240.6221923828125,4302.3994140625,Snack Foods,0.0,,1985,OUT027,Tier 3,Medium,Supermarket Type3
FDS40,Low Fat,34.61899948120117,36.61899948120117,Frozen Foods,0.024546148255467415,,1985,OUT019,Tier 1,Small,Grocery Store
FDO58,Low Fat,166.05259704589844,3124.599365234375,Snack Foods,0.0396387055516243,19.600000381469727,1999,OUT049,Tier 1,Medium,Supermarket Type1
NCO30,Low Fat,181.8607940673828,4042.737548828125,Household,0.01571180671453476,19.5,1987,OUT013,Tier 3,High,Supermarket Type1
FDP22,Regular,52.866600036621094,461.3994140625,Snack Foods,0.09911342710256577,14.649999618530273,2004,OUT035,Tier 2,Small,Supermarket Type1
FDP15,Low Fat,255.43299865722656,9227.98828125,Meat,0.0835360735654831,,1985,OUT027,Tier 3,Medium,Supermarket Type3
FDJ45,Low Fat,34.22159957885742,173.10800170898438,Seafood,0.1285325586795807,,1985,OUT019,Tier 1,Small,Grocery Store
FDA35,Regular,123.0072021484375,1960.115234375,Baking Goods,0.05392126366496086,14.850000381469727,1999,OUT049,Tier 1,Medium,Supermarket Type1
NCP02,Low Fat,58.25619888305664,592.56201171875,Household,0.0447714738547802,7.105000019073486,1987,OUT013,Tier 3,High,Supermarket Type1
FDB26,Regular,55.263999938964844,1544.656005859375,Canned,0.031116081401705742,,1985,OUT027,Tier 3,Medium,Supermarket Type3
FDK41,Low Fat,83.42240142822266,681.7791748046875,Frozen Foods,0.12826314568519592,14.300000190734863,2007,OUT017,Tier 2,,Supermarket Type1
FDI60,Regular,61.85100173950195,822.2630004882812,Baking Goods,0.03832121938467026,7.21999979019165,1997,OUT046,Tier 1,Small,Supermarket Type1
NCW30,Low Fat,259.59619140625,2848.958251953125,Household,0.011007814668118954,5.210000038146973,2004,OUT035,Tier 2,Small,Supermarket Type1
FDK55,Low Fat,87.71720123291016,802.9547729492188,Meat,0.02590741589665413,18.5,2007,OUT017,Tier 2,,Supermarket Type1
FDV46,Low Fat,139.8179931640625,1398.1800537109375,Snack Foods,0.0126078762114048,18.200000762939453,1997,OUT046,Tier 1,Small,Supermarket Type1
NCE42,Low Fat,235.3957977294922,3271.7412109375,Household,0.01060229167342186,21.100000381469727,1997,OUT046,Tier 1,Small,Supermarket Type1
FDS60,Low Fat,178.36599731445312,4673.916015625,Baking Goods,0.03244238719344139,20.850000381469727,2004,OUT035,Tier 2,Small,Supermarket Type1
FDG56,Regular,60.853599548339844,918.8040161132812,Fruits and Vegetables,0.07159747183322906,13.300000190734863,2002,OUT045,Tier 2,,Supermarket Type1
FDT07,Regular,257.13299560546875,7433.6572265625,Fruits and Vegetables,0.07694465667009354,,1985,OUT027,Tier 3,Medium,Supermarket Type3
FDC14,Regular,42.0453987121582,377.50860595703125,Canned,0.04131320118904114,14.5,1999,OUT049,Tier 1,Medium,Supermarket Type1
DRN59,Low Fat,47.305999755859375,652.4840087890625,Hard Drinks,0.06450442969799042,15.0,2007,OUT017,Tier 2,,Supermarket Type1
DRI51,Low Fat,172.67640686035156,6183.9501953125,Dairy,0.04203707352280617,,1985,OUT027,Tier 3,Medium,Supermarket Type3
FDD05,Low Fat,122.00980377197266,2651.215576171875,Frozen Foods,0.016611475497484207,19.350000381469727,1997,OUT046,Tier 1,Small,Supermarket Type1
FDQ45,Regular,182.16079711914062,367.5216064453125,Snack Foods,0.01911434903740883,,1985,OUT019,Tier 1,Small,Grocery Store
